case-goals moveset=a11b14b29ffc3798e8b40b51a56452058ef5daa610a3469283b634e9c0f1cfb9 kind=pll goalset=auf4xauf4 size=16
case-alg moveset=a11b14b29ffc3798e8b40b51a56452058ef5daa610a3469283b634e9c0f1cfb9 kind=pll case=pll:01230123 length=0 alg=
case-lower moveset=a11b14b29ffc3798e8b40b51a56452058ef5daa610a3469283b634e9c0f1cfb9 kind=pll case=pll:01230231 goal=0 bound=8 result=NO-SOLUTION
case-lower moveset=a11b14b29ffc3798e8b40b51a56452058ef5daa610a3469283b634e9c0f1cfb9 kind=pll case=pll:01230231 goal=1 bound=8 result=NO-SOLUTION
case-lower moveset=a11b14b29ffc3798e8b40b51a56452058ef5daa610a3469283b634e9c0f1cfb9 kind=pll case=pll:01230231 goal=2 bound=8 result=NO-SOLUTION
case-lower moveset=a11b14b29ffc3798e8b40b51a56452058ef5daa610a3469283b634e9c0f1cfb9 kind=pll case=pll:01230231 goal=3 bound=8 result=NO-SOLUTION
case-lower moveset=a11b14b29ffc3798e8b40b51a56452058ef5daa610a3469283b634e9c0f1cfb9 kind=pll case=pll:01230231 goal=4 bound=8 result=NO-SOLUTION
case-lower moveset=a11b14b29ffc3798e8b40b51a56452058ef5daa610a3469283b634e9c0f1cfb9 kind=pll case=pll:01230231 goal=5 bound=8 result=NO-SOLUTION
case-lower moveset=a11b14b29ffc3798e8b40b51a56452058ef5daa610a3469283b634e9c0f1cfb9 kind=pll case=pll:01230231 goal=6 bound=8 result=NO-SOLUTION
case-lower moveset=a11b14b29ffc3798e8b40b51a56452058ef5daa610a3469283b634e9c0f1cfb9 kind=pll case=pll:01230231 goal=7 bound=8 result=NO-SOLUTION
case-lower moveset=a11b14b29ffc3798e8b40b51a56452058ef5daa610a3469283b634e9c0f1cfb9 kind=pll case=pll:01230231 goal=8 bound=8 result=NO-SOLUTION
case-lower moveset=a11b14b29ffc3798e8b40b51a56452058ef5daa610a3469283b634e9c0f1cfb9 kind=pll case=pll:01230231 goal=9 bound=8 result=NO-SOLUTION
case-lower moveset=a11b14b29ffc3798e8b40b51a56452058ef5daa610a3469283b634e9c0f1cfb9 kind=pll case=pll:01230231 goal=10 bound=8 result=NO-SOLUTION
case-lower moveset=a11b14b29ffc3798e8b40b51a56452058ef5daa610a3469283b634e9c0f1cfb9 kind=pll case=pll:01230231 goal=11 bound=8 result=NO-SOLUTION
case-lower moveset=a11b14b29ffc3798e8b40b51a56452058ef5daa610a3469283b634e9c0f1cfb9 kind=pll case=pll:01230231 goal=12 bound=8 result=NO-SOLUTION
case-lower moveset=a11b14b29ffc3798e8b40b51a56452058ef5daa610a3469283b634e9c0f1cfb9 kind=pll case=pll:01230231 goal=13 bound=8 result=NO-SOLUTION
case-lower moveset=a11b14b29ffc3798e8b40b51a56452058ef5daa610a3469283b634e9c0f1cfb9 kind=pll case=pll:01230231 goal=14 bound=8 result=NO-SOLUTION
case-lower moveset=a11b14b29ffc3798e8b40b51a56452058ef5daa610a3469283b634e9c0f1cfb9 kind=pll case=pll:01230231 goal=15 bound=8 result=NO-SOLUTION
case-alg moveset=a11b14b29ffc3798e8b40b51a56452058ef5daa610a3469283b634e9c0f1cfb9 kind=pll case=pll:01230231 length=9 alg=R2.U.B'.F.R2.B.F'.U.R2
case-lower moveset=a11b14b29ffc3798e8b40b51a56452058ef5daa610a3469283b634e9c0f1cfb9 kind=pll case=pll:01230312 goal=0 bound=8 result=NO-SOLUTION
case-lower moveset=a11b14b29ffc3798e8b40b51a56452058ef5daa610a3469283b634e9c0f1cfb9 kind=pll case=pll:01230312 goal=1 bound=8 result=NO-SOLUTION
case-lower moveset=a11b14b29ffc3798e8b40b51a56452058ef5daa610a3469283b634e9c0f1cfb9 kind=pll case=pll:01230312 goal=2 bound=8 result=NO-SOLUTION
case-lower moveset=a11b14b29ffc3798e8b40b51a56452058ef5daa610a3469283b634e9c0f1cfb9 kind=pll case=pll:01230312 goal=3 bound=8 result=NO-SOLUTION
case-lower moveset=a11b14b29ffc3798e8b40b51a56452058ef5daa610a3469283b634e9c0f1cfb9 kind=pll case=pll:01230312 goal=4 bound=8 result=NO-SOLUTION
case-lower moveset=a11b14b29ffc3798e8b40b51a56452058ef5daa610a3469283b634e9c0f1cfb9 kind=pll case=pll:01230312 goal=5 bound=8 result=NO-SOLUTION
case-lower moveset=a11b14b29ffc3798e8b40b51a56452058ef5daa610a3469283b634e9c0f1cfb9 kind=pll case=pll:01230312 goal=6 bound=8 result=NO-SOLUTION
case-lower moveset=a11b14b29ffc3798e8b40b51a56452058ef5daa610a3469283b634e9c0f1cfb9 kind=pll case=pll:01230312 goal=7 bound=8 result=NO-SOLUTION
case-lower moveset=a11b14b29ffc3798e8b40b51a56452058ef5daa610a3469283b634e9c0f1cfb9 kind=pll case=pll:01230312 goal=8 bound=8 result=NO-SOLUTION
case-lower moveset=a11b14b29ffc3798e8b40b51a56452058ef5daa610a3469283b634e9c0f1cfb9 kind=pll case=pll:01230312 goal=9 bound=8 result=NO-SOLUTION
case-lower moveset=a11b14b29ffc3798e8b40b51a56452058ef5daa610a3469283b634e9c0f1cfb9 kind=pll case=pll:01230312 goal=10 bound=8 result=NO-SOLUTION
case-lower moveset=a11b14b29ffc3798e8b40b51a56452058ef5daa610a3469283b634e9c0f1cfb9 kind=pll case=pll:01230312 goal=11 bound=8 result=NO-SOLUTION
case-lower moveset=a11b14b29ffc3798e8b40b51a56452058ef5daa610a3469283b634e9c0f1cfb9 kind=pll case=pll:01230312 goal=12 bound=8 result=NO-SOLUTION
